iter	Passed	Remaining
416	3088	4318
417	3100	4316
418	3109	4311
419	3115	4302
420	3123	4295
421	3135	4295
422	3141	4285
423	3157	4289
424	3164	4281
425	3173	4276
426	3180	4268
427	3188	4261
428	3192	4249
429	3199	4241
430	3205	4232
431	3210	4221
432	3223	4220
433	3227	4209
434	3236	4203
435	3240	4191
436	3245	4181
437	3254	4175
438	3258	4164
439	3265	4156
440	3270	4145
441	3277	4137
442	3285	4131
443	3289	4118
444	3296	4111
445	3301	4100
446	3305	4089
447	3318	4088
448	3323	4078
449	3331	4071
450	3335	4060
451	3343	4054
452	3350	4045
453	3353	4033
454	3361	4026
455	3366	4015
456	3374	4009
457	3380	4000
458	3384	3988
459	3391	3981
460	3397	3972
461	3402	3962
462	3413	3958
463	3416	3947
464	3425	3940
465	3429	3930
466	3434	3919
467	3442	3912
468	3446	3902
469	3453	3893
470	3459	3885
471	3469	3881
472	3478	3875
473	3492	3875
474	3498	3866
475	3508	3862
476	3518	3857
477	3525	3850
478	3534	3844
479	3541	3836
480	3547	3827
481	3556	3822
482	3561	3812
483	3571	3807
484	3582	3804
485	3588	3795
486	3597	3789
487	3602	3780
488	3612	3775
489	3618	3766
490	3627	3760
491	3633	3751
492	3640	3743
493	3649	3737
494	3654	3728
495	3664	3723
496	3668	3713
497	3678	3708
498	3685	3700
499	3697	3697
500	3706	3691
501	3713	3683
502	3718	3674
503	3728	3668
504	3732	3658
505	3744	3655
506	3749	3646
507	3761	3643
508	3768	3634
509	3776	3628
510	3781	3618
511	3794	3616
512	3800	3607
513	3810	3602
514	3815	3593
515	3826	3589
516	3830	3579
517	3842	3575
518	3846	3565
519	3861	3564
520	3874	3562
521	3881	3554
522	3893	3551
523	3902	3545
524	3911	3539
525	3921	3533
526	3929	3527
527	3940	3522
528	3946	3513
529	3954	3506
530	3958	3496
531	3962	3485
532	3971	3479
533	3975	3469
534	3981	3460
535	3989	3453
536	3994	3443
537	4005	3439
538	4010	3430
539	4022	3426
540	4026	3415
541	4035	3410
542	4040	3400
543	4047	3392
544	4056	3386
545	4062	3378
546	4068	3369
547	4072	3359
548	4079	3351
549	4089	3346
550	4099	3340
551	4106	3332
552	4117	3328
553	4121	3318
554	4127	3309
555	4134	3301
556	4138	3291
557	4148	3286
558	4152	3276
559	4156	3266
560	4164	3259
561	4168	3249
562	4173	3239
563	4182	3233
564	4186	3223
565	4192	3214
566	4198	3206
567	4203	3196
568	4212	3191
569	4216	3180
570	4219	3170
571	4228	3163
572	4232	3154
573	4242	3148
574	4248	3140
575	4258	3135
576	4266	3127
577	4277	3122
578	4281	3112
579	4288	3105
580	4293	3096
581	4298	3087
582	4308	3081
583	4313	3072
584	4321	3065
585	4325	3055
586	4330	3047
587	4340	3041
588	4344	3031
589	4353	3025
590	4357	3015
591	4364	3007
592	4373	3001
593	4377	2991
594	4385	2985
595	4390	2975
596	4396	2967
597	4404	2960
598	4407	2950
599	4417	2945
600	4421	2935
601	4431	2929
602	4436	2920
603	4441	2911
604	4452	2906
605	4463	2901
606	4468	2892
607	4472	2883
608	4481	2877
609	4485	2868
610	4491	2859
611	4500	2853
612	4508	2846
613	4513	2837
614	4519	2829
615	4528	2823
616	4532	2813
617	4536	2804
618	4543	2796
619	4547	2787
620	4556	2781
621	4561	2772
622	4566	2763
623	4574	2756
624	4578	2747
625	4590	2742
626	4595	2733
627	4599	2724
628	4608	2718
629	4612	2709
630	4622	2703
631	4627	2694
632	4638	2689
633	4643	2680
634	4653	2674
635	4659	2666
636	4668	2660
637	4674	2652
638	4678	2643
639	4690	2638
640	4700	2632
641	4707	2624
642	4716	2618
643	4723	2610
644	4733	2605
645	4739	2597
646	4748	2590
647	4755	2583
648	4764	2576
649	4769	2568
650	4778	2561
651	4785	2554
652	4790	2545
653	4797	2537
654	4804	2530
655	4818	2526
656	4822	2517
657	4834	2512
658	4842	2505
659	4852	2499
660	4865	2495
661	4870	2486
662	4883	2482
663	4895	2477
664	4902	2469
665	4913	2463
666	4919	2455
667	4933	2451
668	4948	2448
669	4961	2443
670	4968	2436
671	4982	2432
672	4992	2425
673	4999	2418
674	5011	2412
675	5015	2403
676	5027	2398
677	5031	2389
678	5046	2385
679	5057	2380
680	5063	2371
681	5074	2366
682	5078	2356
683	5081	2347
684	5089	2340
685	5094	2331
686	5104	2325
687	5108	2316
688	5112	2307
689	5119	2300
690	5125	2291
691	5129	2283
692	5136	2275
693	5144	2268
694	5151	2260
695	5156	2252
696	5160	2243
697	5168	2236
698	5175	2228
699	5181	2220
700	5186	2212
701	5191	2203
702	5197	2195
703	5206	2189
704	5215	2182
705	5219	2173
706	5227	2166
707	5232	2158
708	5236	2149
709	5243	2141
710	5248	2133
711	5253	2124
712	5262	2118
713	5266	2109
714	5271	2101
715	5277	2093
716	5281	2084
717	5288	2077
718	5294	2069
719	5298	2060
720	5305	2053
721	5311	2045
722	5315	2036
723	5320	2028
724	5327	2020
725	5334	2013
726	5339	2005
727	5344	1996
728	5351	1989
729	5360	1982
730	5365	1974
731	5371	1966
732	5375	1958
733	5382	1950
734	5390	1943
735	5393	1934
736	5401	1927
737	5405	1919
738	5411	1911
739	5420	1904
740	5424	1896
741	5434	1889
742	5438	1881
743	5451	1875
744	5455	1867
745	5462	1859
746	5467	1851
747	5471	1843
748	5483	1837
749	5486	1828
750	5495	1822
751	5499	1813
752	5504	1805
753	5514	1799
754	5517	1790
755	5521	1782
756	5529	1774
757	5534	1767
758	5541	1759
759	5547	1751
760	5550	1743
761	5556	1735
762	5562	1727
763	5565	1719
764	5569	1710
765	5575	1703
766	5582	1695
767	5590	1688
768	5595	1680
769	5599	1672
770	5611	1666
771	5615	1658
772	5625	1651
773	5631	1644
774	5641	1637
775	5645	1629
776	5654	1622
777	5661	1615
778	5670	1608
779	5675	1600
780	5682	1593
781	5689	1586
782	5694	1578
783	5698	1570
784	5705	1562
785	5715	1556
786	5726	1549
787	5738	1543
788	5742	1535
789	5748	1528
790	5754	1520
791	5760	1512
792	5768	1505
793	5772	1497
794	5779	1490
795	5785	1482
796	5789	1474
797	5801	1468
798	5805	1460
799	5815	1453
800	5819	1445
801	5827	1438
802	5836	1431
803	5843	1424
804	5849	1416
805	5858	1410
806	5864	1402
807	5869	1394
808	5878	1387
809	5885	1380
810	5892	1373
811	5896	1365
812	5903	1357
813	5909	1350
814	5915	1342
815	5922	1335
816	5931	1328
817	5940	1321
818	5945	1313
819	5950	1306
820	5960	1299
821	5968	1292
822	5973	1284
823	5978	1276
824	5989	1270
825	6001	1264
826	6007	1256
827	6015	1249
828	6021	1241
829	6024	1233
830	6033	1227
831	6038	1219
832	6043	1211
833	6053	1204
834	6058	1197
835	6067	1190
836	6071	1182
837	6082	1175
838	6088	1168
839	6094	1160
840	6102	1153
841	6111	1146
842	6118	1139
843	6122	1131
844	6132	1124
845	6136	1117
846	6147	1110
847	6151	1102
848	6155	1094
849	6165	1087
850	6170	1080
851	6181	1073
852	6186	1066
853	6194	1059
854	6199	1051
855	6203	1043
856	6215	1037
857	6219	1029
858	6229	1022
859	6236	1015
860	6245	1008
861	6249	1000
862	6257	993
863	6263	985
864	6267	978
865	6278	971
866	6283	963
867	6291	956
868	6296	949
869	6307	942
870	6313	935
871	6320	927
872	6324	920
873	6332	912
874	6342	906
875	6346	898
876	6354	891
877	6360	883
878	6364	876
879	6372	868
880	6379	861
881	6387	854
882	6392	846
883	6400	839
884	6409	832
885	6418	825
886	6424	818
887	6431	811
888	6440	804
889	6446	796
890	6452	789
891	6457	781
892	6466	774
893	6474	767
894	6482	760
895	6488	753
896	6492	745
897	6500	738
898	6507	731
899	6516	724
900	6520	716
901	6526	709
902	6533	701
903	6537	694
904	6543	686
905	6550	679
906	6555	672
907	6563	665
908	6568	657
909	6572	650
910	6583	643
911	6587	635
912	6599	628
913	6604	621
914	6613	614
915	6618	606
916	6623	599
917	6635	592
918	6642	585
919	6651	578
920	6666	571
921	6679	565
922	6684	557
923	6699	551
924	6704	543
925	6714	536
926	6721	529
927	6731	522
928	6738	514
929	6746	507
930	6753	500
931	6761	493
932	6766	485
933	6773	478
934	6781	471
935	6794	464
936	6803	457
937	6812	450
938	6824	443
939	6829	435
940	6838	428
941	6845	421
942	6857	414
943	6871	407
944	6876	400
945	6888	393
946	6901	386
947	6909	379
948	6922	372
949	6930	364
950	6939	357
951	6950	350
952	6955	343
953	6967	335
954	6973	328
955	6986	321
956	6997	314
957	7003	307
958	7014	299
959	7020	292
960	7028	285
961	7036	277
962	7040	270
963	7051	263
964	7055	255
965	7062	248
966	7069	241
967	7075	233
968	7084	226
969	7088	219
970	7094	211
971	7101	204
972	7105	197
973	7113	189
974	7119	182
975	7127	175
976	7131	167
977	7138	160
978	7146	153
979	7151	145
980	7155	138
981	7163	131
982	7167	123
983	7176	116
984	7182	109
985	7186	102
986	7193	94
987	7198	87
988	7204	80
989	7212	72
990	7216	65
991	7221	58
992	7228	50
993	7234	43
994	7244	36
995	7247	29
996	7251	21
997	7261	14
998	7268	7
999	7276	0
